in:Index,out:Result,out:EveningAverageSunhoursLoss,out:MaxSunhoursLoss,out:AverageSunhoursLoss,out:Volume,img
1542,2,0.123987,11,0.29071,183755.972069,{30;42}_OptimizationIsoViewSW.png
1543,1.75,0.148858,9,0.371117,199960.007998,{30;43}_OptimizationIsoViewSW.png
1544,2,0.12289,11,0.258271,165920.026547,{30;44}_OptimizationIsoViewSW.png
1545,2.75,0.181831,16,0.465648,233918.128655,{30;45}_OptimizationIsoViewSW.png
1546,2.25,0.177723,18,0.463341,225835.591689,{30;46}_OptimizationIsoViewSW.png
1547,2.25,0.116532,13,0.261873,165920.026547,{30;47}_OptimizationIsoViewSW.png
1548,2,0.145003,16,0.355137,207943.439384,{30;48}_OptimizationIsoViewSW.png
1549,1.75,0.141262,11,0.32222,190150.218673,{30;49}_OptimizationIsoViewSW.png
1550,1.25,0.095994,9,0.221359,152905.198777,{31;0}_OptimizationIsoViewSW.png
1551,1.25,0.098835,9,0.221219,146455.770357,{31;1}_OptimizationIsoViewSW.png
1552,1.75,0.13223,9,0.316987,188536.953243,{31;2}_OptimizationIsoViewSW.png
1553,1.25,0.098835,9,0.221219,146455.770357,{31;3}_OptimizationIsoViewSW.png
